Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C2,0603,14.79mm,-12.4mm,14.8mm,-12.4mm,15.56mm,-12.4mm,T,180,1uF
LED1,0603,17.78mm,-31.47mm,17.8mm,-31.5mm,17.01mm,-31.47mm,T,180,Red_LED
C3,0603,27.78mm,-13.41mm,27.8mm,-13.4mm,27.78mm,-14.18mm,T,90,104
R1,0603,32.84mm,-0.53mm,32.8mm,-0.5mm,32.07mm,-0.53mm,T,0,10k
R2,0603,7.73mm,-0.33mm,7.7mm,-0.3mm,6.96mm,-0.33mm,T,0,10k
C4,0603,37.19mm,-0.5mm,37.2mm,-0.5mm,37.96mm,-0.5mm,T,180,104
R3,0603,30.9mm,12.1mm,30.9mm,12.1mm,30.9mm,12.87mm,T,270,10k
R4,0603,30.9mm,8.4mm,30.9mm,8.4mm,30.9mm,9.17mm,T,270,10k
R5,0603,30.9mm,4.7mm,30.9mm,4.7mm,30.9mm,3.93mm,T,90,10k
P2,0.96'OLED-IIC(4PIN),15mm,-0.5mm,15mm,-0.5mm,11.19mm,-0.5mm,T,0,0.96'OLED-IIC(4Pin)
P6,ESP-12F_JX,15mm,10.75mm,15mm,15mm,7mm,18.5mm,T,0,ESP-12F_JX
R8,0603,6.7mm,-25.9mm,6.7mm,-25.9mm,6.7mm,-26.67mm,T,90,10k
R7,0603,30.9mm,16.7mm,30.9mm,16.7mm,30.9mm,15.93mm,T,90,100R
R9,0603,23.3mm,-25.9mm,23.3mm,-25.9mm,23.3mm,-26.67mm,T,90,10k
R6,0603,30.9mm,20.4mm,30.9mm,20.4mm,30.9mm,19.63mm,T,90,100R
C1,0603,9.2mm,-18mm,9.2mm,-18mm,9.2mm,-17.23mm,T,270,10uF
U1,SOT223_JX,13.7mm,-18mm,13.7mm,-18mm,16mm,-15mm,T,90,BL1117-33CX
LED2,0603,32.3mm,-30.7mm,32.3mm,-30.7mm,32.3mm,-31.47mm,T,270,Green_LED
P5,2.54-1*3P_JX,38.4mm,12.8mm,38.4mm,12.8mm,38.4mm,10.26mm,T,90,M_2.54_1*3P_JX
P3,M_2.54_1*7P_JX,1.5mm,12mm,1.5mm,12mm,1.5mm,19.62mm,T,270,M_2.54_1*7P_JX
P4,M_2.54_1*9P_JX,28.5mm,14.54mm,28.5mm,14.54mm,28.5mm,24.7mm,T,270,M_2.54_1*9P_JX
RESET,SW_PUSH_6MM_H5MM_JX,36mm,-8mm,36mm,-8mm,37.95mm,-12mm,T,90,SW_PUSH_JX
BOOT,SW_PUSH_6MM_H5MM_JX,36mm,-21mm,36mm,-21mm,37.95mm,-25mm,T,90,SW_PUSH_JX
P1,USB_MINI_B_FE_JX,5.7mm,-8.7mm,8.8mm,-8.7mm,8.6mm,-7.1mm,T,0,MINI-USB_JX
SW1,SW_SK-12D02_JX,2.5mm,-18.8mm,2.5mm,-18.8mm,2.5mm,-22.95mm,T,180,SW_SK-12D02_JX
U2,SOP16_150MIL_JX,22.9mm,-16.7mm,22.9mm,-16.7mm,20.3mm,-12.26mm,T,270,CH340C_JX
